GeneInfo	GeneID	Gene_Desc	AM_N_056	AM_N_068	AM_N_072	AM_P_053	AM_P_057	AM_P_061	AM_SL_050	AM_SL_054	AM_SL_058	AM_SM_051	AM_SM_059	AM_SM_075
bantam	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC100576888	NA	NA	80	43	53	70	23	58	57	30	65	69	39	61
LOC100577892	NA	NA	836	21	18	51	70	103	22	31	32	93	1057	1368
LOC102653927	NA	NA	0	0	1	0	0	0	0	0	0	0	0	0
LOC102654138	NA	NA	10	3	5	14	5	19	7	14	8	14	10	29
LOC102655714	NA	NA	377	94	119	216	87	115	98	192	141	162	119	196
LOC102656222	NA	NA	0	0	0	1	0	0	0	1	0	0	0	1
LOC102656383	NA	NA	5	5	8	3	1	3	2	0	0	9	2	5
LOC102656615	NA	NA	54	25	22	47	14	14	20	21	24	31	21	55
LOC107964142	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC107964261	NA	NA	44	17	29	35	12	29	19	15	23	38	18	41
LOC107965471	NA	NA	226	96	94	138	77	173	106	120	148	165	119	232
LOC107965560	NA	NA	291	87	140	184	149	123	97	176	118	192	121	292
LOC113218621	NA	NA	369	176	220	287	131	258	187	188	169	264	259	265
LOC113218700	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC113218758	NA	NA	0	1	0	1	0	1	1	0	3	0	2	2
LOC113218933	NA	NA	3	11	2	1	1	12	7	13	9	5	7	10
LOC113218936	NA	NA	0	0	0	0	0	0	0	1	0	1	0	0
LOC113218981	NA	NA	0	0	0	0	0	0	0	1	0	1	0	0
LOC113218986	NA	NA	44	48	38	44	33	61	66	35	30	44	53	56
LOC113219013	NA	NA	1	3	0	3	3	0	5	0	3	2	4	1
LOC113219081	NA	NA	1	0	0	0	0	1	1	0	0	3	3	3
LOC113219082	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC113219084	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC113219205	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC113219206	NA	NA	0	1	0	0	0	0	0	0	0	0	0	0
LOC113219208	NA	NA	1	0	0	0	0	0	0	1	0	0	0	3
LOC113219238	NA	NA	2	0	0	0	0	0	0	0	0	0	2	0
LOC113219325	NA	NA	0	1	0	3	0	2	7	0	2	5	0	4
LOC113219338	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC113219345	NA	NA	17	4	8	10	2	12	6	10	10	12	12	19
LOC113219346	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC113219347	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC113219348	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC113219350	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC113219357	NA	NA	4	4	1	1	0	0	2	2	5	0	0	2
LOC113219363	NA	NA	4	0	0	2	0	2	0	1	1	1	1	0
LOC113219379	NA	NA	7	2	1	9	17	2	1	1	3	2	1	6
LOC113219415	NA	NA	0	0	0	0	0	0	0	1	0	2	0	0
LOC410552	NA	NA	235	96	114	276	97	202	115	173	84	223	126	364
LOC724818	NA	NA	72	22	42	34	19	28	29	27	49	30	49	74
LOC724839	NA	NA	619	171	236	380	153	632	199	286	325	396	371	459
Mir1-1	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir10	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir100	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir1000	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir1006	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir11	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir1175	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir12	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir124	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir125	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir133	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir137	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir13a	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir13b	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir14	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir184	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir190	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir193	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir2-1	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir2-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir2-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir210	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir219	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir252a	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir252b	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir263a	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir263b	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir275	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir276	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir2765	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir2765-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir277	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir278	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir2788	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir2796	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir279a	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir279b	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir279c	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir279d	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir281	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir282	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir283	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir2944	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir29b	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir2b	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3049	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3049-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir305	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir306	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir307	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir315	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir316	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir317	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir318	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir31a	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir33	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir34	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3477	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3478	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3715	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3716a	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3717	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3718a	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3718b	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3718c	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3719	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3720	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
