GeneInfo	BT_A_N_001	BT_A_N_025	BT_A_N_029	BT_A_P_014	BT_A_P_026	BT_A_P_030	BT_A_SL_003	BT_A_SL_027	BT_A_SL_031	BT_A_SM_004	BT_A_SM_028	BT_A_SM_032
XM_012316519.2	1144	1820	1033	794	866	1323	340	233	684	662	1869	2171
XM_003392857.3	763	1154	467	559	761	792	394	265	348	375	818	1136
XM_003392856.3	70	74	83	77	52	41	78	37	48	111	38	33
XM_003392855.3	226	297	283	221	127	139	158	118	197	292	150	141
XM_003392854.3	425	512	370	265	315	362	323	319	379	431	277	343
XM_020868627.1	2	2	4	5	1	4	2	8	3	2	1	1
XM_012315933.2	4	4	7	7	1	4	5	5	8	5	0	0
XM_020863580.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_012315683.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012315808.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012315747.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_020863569.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_012315994.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012316058.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012315870.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_020863575.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_020863582.1	0	0	0	0	0	0	0	0	0	0	0	0
XR_001099275.2	4	17	10	7	14	24	11	9	6	5	5	5
XM_020863598.1	46017	46866	77861	42028	34260	42547	55609	37154	36541	29643	29236	33077
XM_012315543.2	34333	35770	66323	35720	35099	47072	51011	41168	26821	14184	22427	29676
XM_003392850.3	27689	29320	52963	26151	18928	24924	26154	23794	21853	16554	16894	20705
XM_003392849.3	104	94	204	76	88	95	91	115	47	79	79	89
XM_003392844.3	107	138	176	60	76	97	133	95	77	91	34	84
XM_003392846.3	731	915	770	710	611	594	701	676	588	637	523	634
XM_003392845.3	2476	3891	2836	3115	2427	2699	2464	2848	2693	2301	2402	2388
XM_012314565.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012314449.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012314678.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012314626.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012314515.2	0	0	0	0	0	0	0	0	0	0	0	0
XR_002307964.1	0	0	1	2	0	0	4	0	0	0	0	0
XM_020864091.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_020864108.1	0	0	0	0	0	0	0	0	0	0	0	0
