GeneInfo	CA_N_007	CA_N_012	CA_N_030	CA_P_013	CA_P_041	CA_P_055	CA_SL_019	CA_SL_048	CA_SL_056	CA_SM_029	CA_SM_039	CA_SM_049
N_unmapped	19330397	18636102	19285770	22717711	17421296	19592222	17570641	22837179	21402798	17714883	19041678	21110797
N_multimapping	500940	356533	484949	495680	402699	1730070	1200770	970356	1660988	733920	2359942	308733
N_noFeature	167228	130684	165678	167511	134973	285895	207513	285499	438300	223468	345430	112090
N_ambiguous	1513524	1341295	1388456	1595698	1165315	1331506	1106807	1457656	1360682	1242473	1229295	1410101
rna-XM_018033244.2	12	3	6	0	5	0	0	2	4	0	0	0
rna-XM_018033456.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018033376.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018033758.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018033840.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026816173.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026814306.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018025624.2	11	10	16	11	13	3	10	13	3	12	6	9
rna-XR_001916650.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026810820.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018025871.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026811290.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018025044.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018025131.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018025436.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018025512.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026811084.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018024811.2	569	255	416	414	211	389	503	591	246	353	335	695
rna-XM_018033579.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018033670.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_003388810.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026819619.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018032991.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018033066.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018033138.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026810890.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018022067.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018022144.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018021943.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026810647.1	2	2	3	5	1	1	2	1	5	3	3	0
rna-XM_018021783.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018021657.2	13664	12288	17071	17297	17220	11790	15533	18510	9985	12423	12508	21638
rna-XM_018021538.2	662	556	564	727	614	580	514	732	553	569	566	661
