GeneInfo	CA_N_007	CA_N_012	CA_N_030	CA_P_013	CA_P_041	CA_P_055	CA_SL_019	CA_SL_048	CA_SL_056	CA_SM_029	CA_SM_039	CA_SM_049
Caust.v2_010917-RA	0	0	1	0	1	0	0	0	1	0	0	0
Caust.v2_010920-RA	99	93	54	89	127	57	65	95	61	90	82	65
Caust.v2_010919-RA	2	1	1	9	6	4	1	4	2	2	3	0
Caust.v2_010922-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_010925-RA	103	52	56	121	42	81	70	99	40	60	44	107
Caust.v2_010927-RA	1180	963	1432	1224	1073	1017	1094	1552	1233	1018	1190	1629
Caust.v2_010929-RA	4	3	3	0	1	1	0	3	0	2	4	1
Caust.v2_010931-RA	729	559	811	714	567	616	833	947	627	636	573	973
Caust.v2_010939-RA	0	0	0	0	0	0	0	0	0	3	0	0
Caust.v2_010942-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_010942-RA	1427	435	905	932	237	1427	2286	2021	720	970	921	4239
Caust.v2_010942-RB	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_010943-RA	7097	5583	6641	5732	5415	7222	3761	6629	7684	4597	5619	5395
Caust.v2_010945-RA	95	16	21	60	26	42	59	82	29	60	42	63
Caust.v2_010946-RA	110	40	55	106	47	94	94	141	78	87	48	120
Caust.v2_010947-RA	22	8	21	39	17	31	19	41	26	24	8	34
Caust.v2_010949-RB	208	132	147	150	144	171	216	277	115	171	114	318
Caust.v2_010949-RB	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_010949-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_010918-RA	3994	2395	2485	2934	3821	2361	1755	2585	1970	2658	2399	2100
Caust.v2_010921-RA	0	0	1	0	0	0	0	0	1	1	0	0
Caust.v2_010924-RA	7	1	10	18	4	4	6	5	5	3	1	9
Caust.v2_010926-RA	1391	863	966	1128	764	1090	1145	1360	1025	963	853	1558
Caust.v2_010928-RA	478	462	513	550	437	444	520	605	479	439	519	621
Caust.v2_010930-RA	3575	2444	2839	3481	2219	3109	3784	4256	2670	2593	2521	5490
Caust.v2_010932-RA	443	611	591	540	941	164	87	447	319	207	528	180
Caust.v2_010941-RA	782	673	860	774	600	584	678	733	641	649	634	751
Caust.v2_010948-RA	1692	534	953	998	1241	1177	957	1582	741	873	693	1008
Caust.v2_010950-RA	297	265	172	413	104	189	297	406	252	232	248	386
Caust.v2_010936-RA	17	17	11	38	34	1	3	14	7	9	14	2
Caust.v2_010933-RA	0	0	0	0	0	0	0	1	0	0	0	0
Caust.v2_010940-RA	3	3	6	6	3	4	2	2	4	0	0	0
Caust.v2_010935-RA	0	0	0	0	0	0	0	1	2	0	1	0
Caust.v2_010944-RA	3	3	0	6	16	6	6	3	3	5	3	3
Caust.v2_010923-RA	0	0	0	0	0	0	0	1	0	0	0	0
Caust.v2_010934-RA	0	0	0	0	0	0	1	1	0	0	0	0
Caust.v2_010937-RA	1	3	3	0	4	8	1	2	3	0	4	0
Caust.v2_010938-RA	0	0	2	0	2	0	1	0	0	0	0	0
Caust.v2_010063-RA	5	6	12	4	6	6	3	6	4	3	4	0
Caust.v2_010063-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_010063-RB	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_010067-RA	18	13	26	23	11	19	15	21	23	15	15	19
Caust.v2_010067-RA	2282	1935	2261	2566	1851	2098	2275	2550	1925	1926	1971	1981
Caust.v2_010067-RB	4	4	7	5	0	1	3	4	1	4	7	3
Caust.v2_010071-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_010077-RA	1336	1155	1573	1703	1239	1310	1553	1768	1293	1091	1356	2047
Caust.v2_010079-RB	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_010079-RB	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_010079-RB	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_010079-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_010079-RC	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_010083-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_010065-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_010066-RA	1901	1944	2059	2149	1871	2701	2030	2830	3302	1638	2038	2550
Caust.v2_010068-RA	733	362	539	1259	1135	2136	331	2200	2810	1423	986	581
Caust.v2_010069-RB	0	0	1	3	1	0	0	1	0	1	1	0
