GeneInfo	GeneID	Gene_Desc	CA_N_007	CA_N_012	CA_N_030	CA_P_013	CA_P_041	CA_P_055	CA_SL_019	CA_SL_048	CA_SL_056	CA_SM_029	CA_SM_039	CA_SM_049
Caust.v2_000001-RA	Caust.v2_000001	pre-rrna-processing protein tsr1 homolog	58	31	35	38	19	82	189	149	38	36	85	247
Caust.v2_000002-RA	Caust.v2_000002	transmembrane protein 173	1303	1147	1488	1385	1150	1162	1177	1409	1039	993	1242	1602
Caust.v2_000003-RA	Caust.v2_000003	eukaryotic translation initiation factor 4e-binding protein 2	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000004-RA	Caust.v2_000004	 	24249	20905	21892	24825	19696	20821	18149	23468	20077	18138	19683	25435
Caust.v2_000005-RA	Caust.v2_000005	dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kda subunit	2465	2207	2664	2989	2136	2044	2740	3514	1785	2151	2443	3810
Caust.v2_000006-RA	Caust.v2_000006	 	77	127	65	191	101	88	86	95	100	77	138	73
Caust.v2_000007-RA	Caust.v2_000007	dual specificity protein phosphatase mpk3-like	4	5	4	7	2	2	7	10	4	2	5	7
Caust.v2_000008-RA	Caust.v2_000008	NA	0	2	0	4	0	5	7	0	2	2	3	0
Caust.v2_000009-RB	Caust.v2_000009	abc transporter g family member 4	0	0	0	0	0	0	0	0	1	0	0	0
Caust.v2_000009-RB	Caust.v2_000009	abc transporter g family member 4	314	264	237	244	177	193	173	213	234	176	310	231
Caust.v2_000009-RA	Caust.v2_000009	abc transporter g family member 4	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000010-RA	Caust.v2_000010	atp-binding cassette sub-family g member 5-like	114	175	108	85	99	68	115	88	113	91	103	157
Caust.v2_000011-RA	Caust.v2_000011	succinyl- :3-ketoacid-coenzyme a transferase mitochondrial	1783	2260	2398	2891	2126	1926	1942	2854	2075	2150	2650	1993
Caust.v2_000012-RA	Caust.v2_000012	NA	60	48	62	42	83	44	44	73	58	37	76	52
Caust.v2_000013-RA	Caust.v2_000013	glucoside xylosyltransferase 1-like	406	244	328	401	219	379	414	481	280	303	297	553
Caust.v2_000014-RA	Caust.v2_000014	 	1064	2235	1221	2272	960	1085	1525	1348	1061	1523	1879	1245
Caust.v2_000015-RA	Caust.v2_000015	uncharacterized protein loc552552 isoform x3	41	29	32	36	24	30	13	34	40	21	34	16
Caust.v2_000016-RA	Caust.v2_000016	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000017-RB	Caust.v2_000017	ubiquitin-like modifier-activating enzyme atg7-like	33	35	43	18	18	31	22	19	32	24	26	29
Caust.v2_000017-RC	Caust.v2_000017	ubiquitin-like modifier-activating enzyme atg7-like	1170	2758	998	2356	1282	1629	1762	1982	1943	1577	1829	1935
Caust.v2_000017-RA	Caust.v2_000017	ubiquitin-like modifier-activating enzyme atg7-like	0	0	0	0	0	0	0	0	0	0	0	0
