GeneID	TranscriptID	ProteinID
Def	NM_001280909.1	NP_001267838.1
F1	NM_001280904.1	NP_001267833.1
F2	NM_001280901.1	NP_001267830.1
F3	NM_001280899.1	NP_001267828.1
fem	NM_001280924.1	NP_001267853.1
fem	XM_012318563.2	XP_012173953.1
Kr-h1	NM_001280921.1	NP_001267850.1
LOC100628631	XM_003400304.3	XP_003400352.2
LOC100628631	XM_012315440.2	XP_012170830.1
LOC100628631	XM_012315441.2	XP_012170831.1
LOC100628631	XM_012315442.2	XP_012170832.1
LOC100631053	XM_003395984.3	XP_003396032.1
LOC100631054	XM_012318728.2	XP_012174118.1
LOC100631054	XM_012318729.2	XP_012174119.1
LOC100631054	XM_012318730.2	XP_012174120.1
LOC100631054	XM_012318731.2	XP_012174121.1
LOC100631054	XM_012318732.2	XP_012174122.1
LOC100631058	XM_012320208.2	XP_012175598.1
LOC100631058	XM_012320210.2	XP_012175600.1
LOC100631058	XM_012320211.2	XP_012175601.1
LOC100631058	XM_012320212.2	XP_012175602.1
LOC100631058	XM_012320213.2	XP_012175603.1
LOC100631058	XM_012320214.2	XP_012175604.1
LOC100631059	XM_012318721.2	XP_012174111.1
LOC100631060	XM_012315218.2	XP_012170608.1
LOC100631060	XM_012315219.2	XP_012170609.1
LOC100631060	XM_012315220.2	XP_012170610.1
LOC100631060	XM_012315221.2	XP_012170611.1
LOC100631060	XM_012315222.2	XP_012170612.1
LOC100631064	XM_003402785.3	XP_003402833.1
LOC100631064	XM_012319284.2	XP_012174674.1
LOC100631064	XM_012319285.2	XP_012174675.1
LOC100631064	XM_012319286.2	XP_012174676.1
LOC100631064	XM_012319287.2	XP_012174677.1
LOC100631064	XM_020867936.1	XP_020723595.1
LOC100631065	XM_003400908.3	XP_003400956.1
LOC100631066	XM_012308701.2	XP_012164091.1
LOC100631066	XM_012308702.2	XP_012164092.1
LOC100631067	XM_003398158.3	XP_003398206.1
LOC100631070	XM_020862727.1	XP_020718386.1
LOC100631072	XM_020865750.1	XP_020721409.1
LOC100631072	XM_020865751.1	XP_020721410.1
LOC100631073	XM_003399699.3	XP_003399747.1
LOC100631077	XM_012316284.2	XP_012171674.1
LOC100631078	XM_003394653.3	XP_003394701.1
LOC100631080	XM_003399641.2	XP_003399689.1
LOC100631080	XM_012314816.2	XP_012170206.1
LOC100631082	XM_003402146.2	XP_003402194.1
LOC100631082	XM_012318236.2	XP_012173626.1
LOC100631082	XM_012318237.2	XP_012173627.1
LOC100631082	XM_020867559.1	XP_020723218.1
LOC100631082	XM_020867560.1	XP_020723219.1
LOC100631082	XM_020867561.1	XP_020723220.1
LOC100631084	XM_012318108.2	XP_012173498.1
LOC100631084	XM_020867374.1	XP_020723033.1
LOC100631086	XM_012316807.1	XP_012172197.1
LOC100631087	XM_003401454.3	XP_003401502.1
LOC100631088	XM_003394476.3	XP_003394524.1
LOC100631089	XM_003402727.3	XP_003402775.1
LOC100631090	XM_003400723.3	XP_003400771.1
LOC100631090	XM_003400724.3	XP_003400772.1
LOC100631091	XM_003402794.3	XP_003402842.1
LOC100631091	XM_012319256.2	XP_012174646.1
LOC100631091	XM_012319257.2	XP_012174647.1
LOC100631091	XM_012319258.2	XP_012174648.1
LOC100631091	XM_012319259.2	XP_012174649.1
LOC100631091	XM_012319260.2	XP_012174650.1
LOC100631091	XM_012319261.2	XP_012174651.1
LOC100631091	XM_012319262.2	XP_012174652.1
LOC100631092	XM_012320822.2	XP_012176212.1
LOC100631093	XM_020863231.1	XP_020718890.1
LOC100631094	XM_003394153.3	XP_003394201.1
LOC100631095	XM_012316809.1	XP_012172199.1
LOC100642190	XM_003392890.3	XP_003392938.1
LOC100642190	XM_012308562.2	XP_012163952.1
LOC100642190	XM_012308609.1	XP_012163999.1
LOC100642190	XM_012308668.2	XP_012164058.1
LOC100642191	XM_003393131.3	XP_003393179.1
LOC100642191	XM_020864918.1	XP_020720577.1
LOC100642192	XM_020864816.1	XP_020720475.1
LOC100642193	XM_003393599.3	XP_003393647.1
LOC100642194	XM_020868358.1	XP_020724017.1
LOC100642195	XM_012320362.1	XP_012175752.1
LOC100642195	XM_012320363.2	XP_012175753.1
LOC100642195	XM_012320364.2	XP_012175754.1
LOC100642195	XM_012320365.2	XP_012175755.1
LOC100642195	XM_012320366.2	XP_012175756.1
LOC100642195	XM_012320367.2	XP_012175757.1
LOC100642196	XM_012320499.1	XP_012175889.1
LOC100642196	XM_012320500.1	XP_012175890.1
LOC100642196	XM_012320501.1	XP_012175891.1
LOC100642196	XM_012320502.1	XP_012175892.1
LOC100642197	XM_012320737.2	XP_012176127.1
LOC100642198	XM_012307690.2	XP_012163080.1
LOC100642198	XM_012307692.2	XP_012163082.1
LOC100642198	XM_012307693.2	XP_012163083.1
LOC100642198	XM_012307694.2	XP_012163084.1
LOC100642198	XM_012307697.2	XP_012163087.1
LOC100642198	XM_012307698.2	XP_012163088.1
LOC100642198	XM_012307700.2	XP_012163090.1
LOC100642198	XM_020862737.1	XP_020718396.1
LOC100642198	XM_020862738.1	XP_020718397.1
LOC100642198	XM_020862739.1	XP_020718398.1
LOC100642198	XM_020862740.1	XP_020718399.1
LOC100642198	XM_020862741.1	XP_020718400.1
LOC100642198	XM_020862742.1	XP_020718401.1
LOC100642198	XM_020862743.1	XP_020718402.1
LOC100642199	XM_003394788.3	XP_003394836.1
LOC100642200	XM_012307897.2	XP_012163287.1
LOC100642201	XM_003395115.3	XP_003395163.1
LOC100642202	XM_020862681.1	XP_020718340.1
LOC100642203	XM_003395359.3	XP_003395407.1
LOC100642204	XM_003395854.3	XP_003395902.1
LOC100642204	XM_012309268.2	XP_012164658.1
LOC100642204	XM_012309269.2	XP_012164659.1
LOC100642204	XM_020863429.1	XP_020719088.1
LOC100642205	XM_003396015.3	XP_003396063.1
LOC100642206	XM_003396176.3	XP_003396224.1
LOC100642207	XM_003396258.3	XP_003396306.1
LOC100642208	XM_020863727.1	XP_020719386.1
LOC100642209	XM_003396659.3	XP_003396707.1
LOC100642211	XM_003397069.3	XP_003397117.1
LOC100642211	XM_012311038.2	XP_012166428.1
LOC100642211	XM_020864289.1	XP_020719948.1
LOC100642211	XM_020864290.1	XP_020719949.1
LOC100642212	XM_003397311.3	XP_003397359.1
LOC100642212	XM_012311246.1	XP_012166636.1
LOC100642212	XM_012311247.1	XP_012166637.1
LOC100642212	XM_012311248.2	XP_012166638.1
LOC100642212	XM_012311249.2	XP_012166639.1
LOC100642212	XM_012311250.2	XP_012166640.1
LOC100642212	XM_012311251.1	XP_012166641.1
LOC100642213	XM_003397388.3	XP_003397436.1
LOC100642213	XM_020864799.1	XP_020720458.1
LOC100642214	XM_012311768.2	XP_012167158.1
LOC100642216	XM_020864457.1	XP_020720116.1
LOC100642217	XM_020865136.1	XP_020720795.1
LOC100642218	XM_003398113.3	XP_003398161.1
LOC100642218	XM_003398114.3	XP_003398162.1
LOC100642219	XM_003398190.3	XP_003398238.1
LOC100642219	XM_020864920.1	XP_020720579.1
LOC100642219	XM_020864921.1	XP_020720580.1
LOC100642219	XM_020864922.1	XP_020720581.1
LOC100642220	XM_003398275.3	XP_003398323.1
LOC100642221	XM_003398356.3	XP_003398404.1
LOC100642223	XM_003399008.3	XP_003399056.1
LOC100642224	XM_003400120.3	XP_003400168.1
LOC100642224	XM_012315525.2	XP_012170915.1
LOC100642225	XM_012316260.2	XP_012171650.1
LOC100642225	XM_012316261.2	XP_012171651.1
LOC100642226	XM_003400855.3	XP_003400903.1
LOC100642226	XM_012316321.2	XP_012171711.1
LOC100642226	XM_012316322.2	XP_012171712.1
LOC100642226	XM_012316323.2	XP_012171713.1
LOC100642226	XM_012316324.2	XP_012171714.1
LOC100642226	XM_020866542.1	XP_020722201.1
LOC100642226	XM_020866543.1	XP_020722202.1
LOC100642226	XR_001099311.2	
LOC100642227	XM_012316980.2	XP_012172370.1
LOC100642227	XM_012316981.2	XP_012172371.1
LOC100642228	XM_012317689.2	XP_012173079.1
LOC100642228	XM_012317690.2	XP_012173080.2
LOC100642228	XM_020867247.1	XP_020722906.1
LOC100642228	XM_020867248.1	XP_020722907.1
LOC100642229	XM_012317786.2	XP_012173176.1
LOC100642229	XM_012317787.2	XP_012173177.1
LOC100642229	XM_012317788.2	XP_012173178.1
LOC100642229	XM_012317789.2	XP_012173179.1
LOC100642229	XM_012317790.2	XP_012173180.1
LOC100642230	XM_012317943.2	XP_012173333.1
LOC100642232	XM_003402836.2	XP_003402884.1
LOC100642233	XM_012319701.2	XP_012175091.1
LOC100642234	XM_003403221.3	XP_003403269.2
LOC100642235	XM_020865175.1	XP_020720834.1
LOC100642236	XM_003393288.3	XP_003393336.1
LOC100642236	XM_003393289.3	XP_003393337.1
LOC100642236	XM_012310949.2	XP_012166339.1
LOC100642237	XM_012320290.2	XP_012175680.2
LOC100642238	XM_003394159.3	XP_003394207.1
LOC100642239	XM_012320921.2	XP_012176311.1
LOC100642239	XM_020868497.1	XP_020724156.1
LOC100642239	XM_020868498.1	XP_020724157.1
LOC100642239	XM_020868499.1	XP_020724158.1
LOC100642240	XM_003394549.3	XP_003394597.1
LOC100642240	XM_012321161.2	XP_012176551.1
LOC100642240	XM_012321162.2	XP_012176552.1
LOC100642240	XM_012321163.2	XP_012176553.1
LOC100642240	XM_012321164.2	XP_012176554.1
LOC100642240	XM_012321165.2	XP_012176555.1
LOC100642241	XM_003394954.3	XP_003395002.1
LOC100642241	XM_020862918.1	XP_020718577.1
LOC100642242	XM_020862628.1	XP_020718287.1
LOC100642243	XM_012309076.2	XP_012164466.1
LOC100642244	XM_003395441.3	XP_003395489.1
LOC100642245	XM_003395523.3	XP_003395571.1
LOC100642245	XM_012308620.2	XP_012164010.1
LOC100642245	XM_012308621.2	XP_012164011.1
LOC100642245	XM_012308622.2	XP_012164012.1
LOC100642245	XM_012308624.2	XP_012164014.1
LOC100642245	XM_012308625.2	XP_012164015.1
LOC100642245	XM_020863262.1	XP_020718921.1
LOC100642245	XM_020863263.1	XP_020718922.1
LOC100642246	XM_003395608.3	XP_003395656.1
LOC100642247	XM_003395933.3	XP_003395981.1
LOC100642247	XM_012309199.2	XP_012164589.1
LOC100642248	XM_020863421.1	XP_020719080.1
LOC100642249	XM_003396574.3	XP_003396622.1
LOC100642250	XM_003396823.3	XP_003396871.1
LOC100642251	XM_003396902.2	XP_003396950.1
LOC100642252	XM_003397233.3	XP_003397281.1
LOC100642252	XM_020864122.1	XP_020719781.1
LOC100642252	XM_020864123.1	XP_020719782.1
LOC100642253	XM_020864649.1	XP_020720308.1
LOC100642253	XM_020864651.1	XP_020720310.1
LOC100642254	XM_003398443.3	XP_003398491.1
LOC100642255	XM_003398526.2	XP_003398574.1
LOC100642256	XM_020865306.1	XP_020720965.1
LOC100642257	XM_003399167.2	XP_003399215.1
LOC100642258	XM_003399327.3	XP_003399375.1
LOC100642258	XM_012314360.2	XP_012169750.1
LOC100642258	XM_012314361.2	XP_012169751.1
LOC100642259	XM_003399401.3	XP_003399449.1
LOC100642260	XM_003399643.3	XP_003399691.1
LOC100642261	XM_003400208.3	XP_003400256.1
LOC100642261	XM_012315430.2	XP_012170820.1
LOC100642262	XM_003400451.3	XP_003400499.1
LOC100642263	XM_003400531.3	XP_003400579.1
LOC100642264	XM_003401020.3	XP_003401068.1
LOC100642264	XM_003401021.3	XP_003401069.1
LOC100642264	XR_001099348.2	
LOC100642265	XM_012317169.2	XP_012172559.1
LOC100642267	XM_012318267.2	XP_012173657.1
LOC100642267	XM_012318268.2	XP_012173658.1
LOC100642267	XM_012318269.2	XP_012173659.1
LOC100642267	XM_012318270.2	XP_012173660.1
LOC100642267	XM_020867555.1	XP_020723214.1
LOC100642268	XR_001099493.2	
LOC100642268	XR_002308617.1	
LOC100642268	XR_002308618.1	
LOC100642269	XM_020867631.1	XP_020723290.1
LOC100642270	XM_003402370.3	XP_003402418.1
LOC100642270	XM_003402371.3	XP_003402419.1
LOC100642270	XR_001099577.2	
