GeneID	TranscriptID	ProteinID
LOC106783577	XM_014746502.1	XP_014601988.1
LOC106783578	XM_014742661.1	XP_014598147.1
LOC106783579	XM_014742229.1	XP_014597715.1
LOC106783580	XM_014742230.1	XP_014597716.1
LOC106783580	XM_014742231.1	XP_014597717.1
LOC106783580	XM_014742232.1	XP_014597718.1
LOC106783580	XM_014742233.1	XP_014597719.1
LOC106783580	XM_014742234.1	XP_014597720.1
LOC106783580	XM_014742235.1	XP_014597721.1
LOC106783581	XM_014742236.1	XP_014597722.1
LOC106783582	XM_014742238.1	XP_014597724.1
LOC106783583	XM_014742239.1	XP_014597725.1
LOC106783583	XM_014742240.1	XP_014597726.1
LOC106783583	XM_014742241.1	XP_014597727.1
LOC106783583	XM_014742242.1	XP_014597728.1
LOC106783583	XM_014742243.1	XP_014597729.1
LOC106783583	XM_014742244.1	XP_014597730.1
LOC106783583	XM_014742245.1	XP_014597731.1
LOC106783583	XM_014742246.1	XP_014597732.1
LOC106783583	XM_014742247.1	XP_014597733.1
LOC106783583	XM_014742248.1	XP_014597734.1
LOC106783583	XM_014742249.1	XP_014597735.1
LOC106783583	XM_014742250.1	XP_014597736.1
LOC106783584	XM_014742252.1	XP_014597738.1
LOC106783584	XM_014742260.1	XP_014597746.1
LOC106783585	XM_014742251.1	XP_014597737.1
LOC106783585	XM_014742253.1	XP_014597739.1
LOC106783585	XM_014742254.1	XP_014597740.1
LOC106783586	XM_014742255.1	XP_014597741.1
LOC106783587	XM_014742256.1	XP_014597742.1
LOC106783588	XM_014742257.1	XP_014597743.1
LOC106783589	XM_014742258.1	XP_014597744.1
LOC106783590	XM_014742259.1	XP_014597745.1
LOC106783591	XM_014742261.1	XP_014597747.1
LOC106783592	XM_014742262.1	XP_014597748.1
LOC106783593	XM_014742263.1	XP_014597749.1
LOC106783594	XM_014742264.1	XP_014597750.1
LOC106783595	XR_001381331.1	
LOC106783596	XM_014742265.1	XP_014597751.1
LOC106783597	XM_014742266.1	XP_014597752.1
LOC106783597	XM_014742267.1	XP_014597753.1
LOC106783597	XM_014742268.1	XP_014597754.1
LOC106783597	XM_014742269.1	XP_014597755.1
LOC106783597	XM_014742270.1	XP_014597756.1
LOC106783597	XM_014742271.1	XP_014597757.1
LOC106783597	XM_014742273.1	XP_014597759.1
LOC106783597	XM_014742274.1	XP_014597760.1
LOC106783598	XM_014742272.1	XP_014597758.1
LOC106783599	XM_014742315.1	XP_014597801.1
LOC106783600	XM_014742275.1	XP_014597761.1
LOC106783600	XM_014742276.1	XP_014597762.1
LOC106783600	XM_014742277.1	XP_014597763.1
LOC106783600	XM_014742278.1	XP_014597764.1
LOC106783601	XM_014742279.1	XP_014597765.1
LOC106783602	XM_014742280.1	XP_014597766.1
LOC106783602	XM_014742281.1	XP_014597767.1
LOC106783602	XM_014742282.1	XP_014597768.1
LOC106783602	XM_014742283.1	XP_014597769.1
LOC106783602	XM_014742284.1	XP_014597770.1
LOC106783602	XM_014742285.1	XP_014597771.1
LOC106783602	XM_014742286.1	XP_014597772.1
LOC106783602	XM_014742288.1	XP_014597774.1
LOC106783602	XM_014742289.1	XP_014597775.1
LOC106783602	XM_014742290.1	XP_014597776.1
LOC106783603	XM_014742287.1	XP_014597773.1
LOC106783604	XM_014742291.1	XP_014597777.1
LOC106783605	XM_014742292.1	XP_014597778.1
LOC106783606	XM_014742293.1	XP_014597779.1
LOC106783607	XM_014742294.1	XP_014597780.1
LOC106783607	XM_014742295.1	XP_014597781.1
LOC106783608	XM_014742299.1	XP_014597785.1
LOC106783608	XM_014742307.1	XP_014597793.1
LOC106783608	XM_014742316.1	XP_014597802.1
LOC106783608	XM_014742325.1	XP_014597811.1
LOC106783608	XM_014742334.1	XP_014597820.1
LOC106783609	XM_014742296.1	XP_014597782.1
LOC106783610	XM_014742297.1	XP_014597783.1
LOC106783611	XM_014742298.1	XP_014597784.1
LOC106783612	XM_014742300.1	XP_014597786.1
LOC106783613	XM_014742301.1	XP_014597787.1
LOC106783614	XM_014742302.1	XP_014597788.1
LOC106783614	XM_014742303.1	XP_014597789.1
LOC106783614	XM_014742304.1	XP_014597790.1
LOC106783615	XM_014742305.1	XP_014597791.1
