GeneID	TranscriptID	ProteinID
LOC108621901	XM_026812191.1	XP_026667992.1
LOC108621902	XM_018019864.2	XP_017875353.1
LOC108621902	XM_026812591.1	XP_026668392.1
LOC108621902	XM_026812611.1	XP_026668412.1
LOC108621902	XM_026812678.1	XP_026668479.1
LOC108621903	XM_018019542.2	XP_017875031.1
LOC108621904	XM_018019503.2	XP_017874992.1
LOC108621905	XM_018019504.2	XP_017874993.1
LOC108621905	XM_018019505.2	XP_017874994.1
LOC108621906	XM_026811088.1	XP_026666889.1
LOC108621907	XM_018019508.2	XP_017874997.1
LOC108621908	XM_018019509.1	XP_017874998.1
LOC108621909	XM_018019510.1	XP_017874999.1
LOC108621910	XM_018019511.2	XP_017875000.1
LOC108621911	XM_026811092.1	XP_026666893.1
LOC108621912	XM_026811093.1	XP_026666894.1
LOC108621913	XM_018019515.2	XP_017875004.2
LOC108621914	XM_018019516.2	XP_017875005.1
LOC108621915	XM_018019517.2	XP_017875006.1
LOC108621915	XM_026811091.1	XP_026666892.1
LOC108621916	XM_018019518.2	XP_017875007.1
LOC108621917	XM_018019519.2	XP_017875008.1
LOC108621917	XM_018019520.2	XP_017875009.1
LOC108621917	XM_018019521.2	XP_017875010.1
LOC108621918	XM_018019523.2	XP_017875012.1
LOC108621919	XM_018019524.2	XP_017875013.1
LOC108621919	XM_018019525.2	XP_017875014.1
LOC108621920	XM_018019526.2	XP_017875015.1
LOC108621921	XM_018019527.2	XP_017875016.1
LOC108621922	XM_026811097.1	XP_026666898.1
LOC108621923	XM_018019530.2	XP_017875019.1
LOC108621923	XM_026811098.1	XP_026666899.1
LOC108621923	XM_026811099.1	XP_026666900.1
LOC108621924	XM_018019533.2	XP_017875022.1
LOC108621925	XM_018019534.2	XP_017875023.1
LOC108621926	XM_018019535.2	XP_017875024.1
LOC108621927	XM_018019536.2	XP_017875025.2
LOC108621928	XM_018019537.2	XP_017875026.1
LOC108621929	XM_018019538.1	XP_017875027.1
LOC108621930	XM_026811107.1	XP_026666908.1
LOC108621931	XM_018019541.1	XP_017875030.1
LOC108621932	XM_026811108.1	XP_026666909.1
